# dynamical spin structure factor of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.50 S=1/2
# k, omega, S(k,omega)

0 0 0.0083696
0 0.006 0.00732991
0 0.012 0.00472966
0 0.018 0.00848514
0 0.024 0.0113762
0 0.03 0.00858604
0 0.036 0.007154
0 0.042 0.0030753
0 0.048 0.00529133
0 0.054 0.0128844
0 0.06 0.0129008
0 0.066 0.026853
0 0.072 0.0200967
0 0.078 0.0134478
0 0.084 0.01187
0 0.09 0.0119102
0 0.096 0.0128776
0 0.102 0.00850922
0 0.108 0.00911659
0 0.114 0.0092034
0 0.12 0.0091918
0 0.126 0.00691392
0 0.132 0.0116513
0 0.138 0.0061639
0 0.144 0.000223714
0 0.15 0.000620523
0 0.156 0.00494199
0 0.162 0.00825169
0 0.168 0.0105404
0 0.174 0.00808582
0 0.18 0.000130109
0 0.186 0.00559104
0 0.192 0.00884618
0 0.198 0.00880351
0 0.204 0.000193398
0 0.21 0.00370129
0 0.216 0.00668861
0 0.222 0.00611392
0 0.228 0.00105675
0 0.234 0.000252173
0 0.24 0.00105742
0 0.246 0.000476277
0 0.252 7.78457e-05
0 0.258 0.00108221
0 0.264 0.00613769
0 0.27 0.00245037
0 0.276 0.00162069
0 0.282 0.00229646
0 0.288 0.00512322
0 0.294 0.00636337
0 0.3 0.00611421
0 0.306 0.00236496
0 0.312 0.00370397
0 0.318 0.00049671
0 0.324 0.000887418
0 0.33 0.0033302
0 0.336 0.000831879
0 0.342 0.0019711
0 0.348 0.00159636
0 0.354 0.00764489
0 0.36 0.000662133
0 0.366 0.000117423
0 0.372 0.0028886
0 0.378 0.0030998
0 0.384 0.000870129
0 0.39 0.00317845
0 0.396 0.00299314
0 0.402 0.00256265
0 0.408 0.000138294
0 0.414 0.00227883
0 0.42 0.00674975
0 0.426 0.0109362
0 0.432 0.00194341
0 0.438 0.00498201
0 0.444 0.00993277
0 0.45 0.0139363
0 0.456 0.0132622
0 0.462 0.00837353
0 0.468 0.00472554
0 0.474 0.00530589
0 0.48 0.00370407
0 0.486 0.00622527
0 0.492 0.00852941
0 0.498 0.0133509
0 0.504 0.00677576
0 0.51 0.00790019
0 0.516 0.0100648
0 0.522 0.00341095
0 0.528 0.00567242
0 0.534 0.0149778
0 0.54 0.0165545
0 0.546 0.0121139
0 0.552 0.00636973
0 0.558 0.00789828
0 0.564 0.00500695
0 0.57 0.000108736
0 0.576 0.00413944
0 0.582 0.00130012
0 0.588 0.000789899
0 0.594 0.00137704
0 0.6 0.000632468
0.005 0 0.0264238
0.005 0.006 0.0235166
0.005 0.012 0.0164477
0.005 0.018 0.0197239
0.005 0.024 0.0220771
0.005 0.03 0.0169054
0.005 0.036 0.0146848
0.005 0.042 0.00813758
0.005 0.048 0.00599505
0.005 0.054 0.0187879
0.005 0.06 0.0190555
0.005 0.066 0.0413404
0.005 0.072 0.029755
0.005 0.078 0.0199559
0.005 0.084 0.0178165
0.005 0.09 0.0183532
0.005 0.096 0.0200471
0.005 0.102 0.0133673
0.005 0.108 0.0147826
0.005 0.114 0.0142152
0.005 0.12 0.0138099
0.005 0.126 0.0106729
0.005 0.132 0.0181004
0.005 0.138 0.00907317
0.005 0.144 0.00118221
0.005 0.15 0.0020006
0.005 0.156 0.00893336
0.005 0.162 0.0143595
0.005 0.168 0.0172572
0.005 0.174 0.0132429
0.005 0.18 0.00042564
0.005 0.186 0.00754206
0.005 0.192 0.0135191
0.005 0.198 0.0141306
0.005 0.204 0.00159241
0.005 0.21 0.00332921
0.005 0.216 0.00773693
0.005 0.222 0.00594519
0.005 0.228 0.00587838
0.005 0.234 0.00353551
0.005 0.24 0.00019016
0.005 0.246 0.00154829
0.005 0.252 0.000599186
0.005 0.258 0.000733495
0.005 0.264 0.00828873
0.005 0.27 0.00452754
0.005 0.276 0.00262476
0.005 0.282 0.00483982
0.005 0.288 0.00604437
0.005 0.294 0.00804365
0.005 0.3 0.00768504
0.005 0.306 0.00247674
0.005 0.312 0.00472754
0.005 0.318 0.00129175
0.005 0.324 0.00222969
0.005 0.33 0.00677425
0.005 0.336 0.00199592
0.005 0.342 0.00210321
0.005 0.348 0.00425953
0.005 0.354 0.0132394
0.005 0.36 0.00224769
0.005 0.366 0.00114457
0.005 0.372 0.00361997
0.005 0.378 0.00611699
0.005 0.384 0.00076997
0.005 0.39 0.00460491
0.005 0.396 0.00365778
0.005 0.402 0.00579183
0.005 0.408 0.000993731
0.005 0.414 0.0048045
0.005 0.42 0.0122115
0.005 0.426 0.0185825
0.005 0.432 0.00300707
0.005 0.438 0.00813641
0.005 0.444 0.0162231
0.005 0.45 0.0223188
0.005 0.456 0.0197531
0.005 0.462 0.0121746
0.005 0.468 0.00764334
0.005 0.474 0.00882742
0.005 0.48 0.00481602
0.005 0.486 0.00867514
0.005 0.492 0.0121961
0.005 0.498 0.0208903
0.005 0.504 0.0102473
0.005 0.51 0.0110211
0.005 0.516 0.0154399
0.005 0.522 0.00514424
0.005 0.528 0.0088703
0.005 0.534 0.0242102
0.005 0.54 0.0259455
0.005 0.546 0.0185603
0.005 0.552 0.0104501
0.005 0.558 0.0128984
0.005 0.564 0.00932997
0.005 0.57 0.000128139
0.005 0.576 0.00683795
0.005 0.582 0.00294182
0.005 0.588 0.000925646
0.005 0.594 0.00233413
0.005 0.6 0.000788147
0.01 0 0.0584686
0.01 0.006 0.0525332
0.01 0.012 0.0383616
0.01 0.018 0.0350089
0.01 0.024 0.0319155
0.01 0.03 0.0248105
0.01 0.036 0.022417
0.01 0.042 0.015507
0.01 0.048 0.00032278
0.01 0.054 0.0145393
0.01 0.06 0.0154532
0.01 0.066 0.0380048
0.01 0.072 0.0244705
0.01 0.078 0.0164963
0.01 0.084 0.0152211
0.01 0.09 0.0167886
0.01 0.096 0.0187934
0.01 0.102 0.0125631
0.01 0.108 0.0150213
0.01 0.114 0.0131362
0.01 0.12 0.0119029
0.01 0.126 0.00983476
0.01 0.132 0.0172437
0.01 0.138 0.00763414
0.01 0.144 0.00403234
0.01 0.15 0.00387979
0.01 0.156 0.0104154
0.01 0.162 0.0167509
0.01 0.168 0.0179811
0.01 0.174 0.013907
0.01 0.18 0.00165884
0.01 0.186 0.0058846
0.01 0.192 0.0132301
0.01 0.198 0.0148913
0.01 0.204 0.00443086
0.01 0.21 0.00183853
0.01 0.216 0.00180842
0.01 0.222 0.00151647
0.01 0.228 0.0136514
0.01 0.234 0.00925242
0.01 0.24 0.00267833
0.01 0.246 0.00298485
0.01 0.252 0.00145495
0.01 0.258 0.000208947
0.01 0.264 0.00637138
0.01 0.27 0.00501993
0.01 0.276 0.00228296
0.01 0.282 0.0074799
0.01 0.288 0.00152583
0.01 0.294 0.00295791
0.01 0.3 0.0030684
0.01 0.306 0.00037381
0.01 0.312 0.00245466
0.01 0.318 0.00224585
0.01 0.324 0.00371138
0.01 0.33 0.00978821
0.01 0.336 0.00354943
0.01 0.342 9.63916e-07
0.01 0.348 0.00796925
0.01 0.354 0.0158363
0.01 0.36 0.00463963
0.01 0.366 0.00356011
0.01 0.372 0.00186465
0.01 0.378 0.00850692
0.01 0.384 0.000504622
0.01 0.39 0.00335188
0.01 0.396 0.00128564
0.01 0.402 0.00999964
0.01 0.408 0.00375299
0.01 0.414 0.0076729
0.01 0.42 0.0156487
0.01 0.426 0.0213783
0.01 0.432 0.00351595
0.01 0.438 0.00900206
0.01 0.444 0.0177552
0.01 0.45 0.0235733
0.01 0.456 0.0184537
0.01 0.462 0.0109106
0.01 0.468 0.00835085
0.01 0.474 0.00991688
0.01 0.48 0.00277314
0.01 0.486 0.00644734
0.01 0.492 0.00970335
0.01 0.498 0.0200459
0.01 0.504 0.00910684
0.01 0.51 0.00861595
0.01 0.516 0.014356
0.01 0.522 0.00397595
0.01 0.528 0.0100896
0.01 0.534 0.0243869
0.01 0.54 0.0252306
0.01 0.546 0.0177456
0.01 0.552 0.0111952
0.01 0.558 0.0136678
0.01 0.564 0.0116905
0.01 0.57 0.00022189
0.01 0.576 0.00778532
0.01 0.582 0.00509492
0.01 0.588 0.000105347
0.01 0.594 0.00255293
0.01 0.6 0.000464113
0.015 0 0.10294
0.015 0.006 0.0929412
0.015 0.012 0.0692206
0.015 0.018 0.0552995
0.015 0.024 0.0436802
0.015 0.03 0.0341882
0.015 0.036 0.0313821
0.015 0.042 0.0245897
0.015 0.048 0.00872992
0.015 0.054 0.00522995
0.015 0.06 0.00716893
0.015 0.066 0.0268882
0.015 0.072 0.012178
0.015 0.078 0.00833845
0.015 0.084 0.00863616
0.015 0.09 0.0115721
0.015 0.096 0.0138384
0.015 0.102 0.00898703
0.015 0.108 0.0124375
0.015 0.114 0.00925356
0.015 0.12 0.00702346
0.015 0.126 0.00676608
0.015 0.132 0.0134826
0.015 0.138 0.00451195
0.015 0.144 0.00687526
0.015 0.15 0.00554629
0.015 0.156 0.0109271
0.015 0.162 0.0171988
0.015 0.168 0.0156654
0.015 0.174 0.0115678
0.015 0.18 0.00188798
0.015 0.186 0.00485869
0.015 0.192 0.0123034
0.015 0.198 0.0144548
0.015 0.204 0.0078585
0.015 0.21 0.00856253
0.015 0.216 0.00620466
0.015 0.222 0.0105946
0.015 0.228 0.0205984
0.015 0.234 0.0141843
0.015 0.24 0.00535347
0.015 0.246 0.00389239
0.015 0.252 0.00117762
0.015 0.258 0.000491457
0.015 0.264 0.00483494
0.015 0.27 0.0034058
0.015 0.276 0.000528164
0.015 0.282 0.0104474
0.015 0.288 0.00511367
0.015 0.294 0.00533658
0.015 0.3 0.00472822
0.015 0.306 0.00405762
0.015 0.312 0.000322001
0.015 0.318 0.00310601
0.015 0.324 0.00460332
0.015 0.33 0.0121599
0.015 0.336 0.0050258
0.015 0.342 0.00266558
0.015 0.348 0.011959
0.015 0.354 0.01747
0.015 0.36 0.00701401
0.015 0.366 0.00570015
0.015 0.372 0.000320356
0.015 0.378 0.0104908
0.015 0.384 0.00221783
0.015 0.39 0.00102311
0.015 0.396 0.00181608
0.015 0.402 0.0145204
0.015 0.408 0.00774974
0.015 0.414 0.0110266
0.015 0.42 0.0189432
0.015 0.426 0.0230224
0.015 0.432 0.00471452
0.015 0.438 0.00963808
0.015 0.444 0.0181703
0.015 0.45 0.0227162
0.015 0.456 0.0155166
0.015 0.462 0.00877977
0.015 0.468 0.00847962
0.015 0.474 0.0101805
0.015 0.48 0.000362141
0.015 0.486 0.0022431
0.015 0.492 0.00518291
0.015 0.498 0.0154384
0.015 0.504 0.00575603
0.015 0.51 0.00472528
0.015 0.516 0.0106634
0.015 0.522 0.000437608
0.015 0.528 0.0124422
0.015 0.534 0.0201935
0.015 0.54 0.0208893
0.015 0.546 0.0147898
0.015 0.552 0.0109249
0.015 0.558 0.0129728
0.015 0.564 0.0126539
0.015 0.57 0.000596424
0.015 0.576 0.0080769
0.015 0.582 0.00766369
0.015 0.588 0.00121344
0.015 0.594 0.00236721
0.015 0.6 0.000245953
0.02 0 0.15389
0.02 0.006 0.13939
0.02 0.012 0.10493
0.02 0.018 0.0787399
0.02 0.024 0.0574596
0.02 0.03 0.0447593
0.02 0.036 0.0405898
0.02 0.042 0.0335475
0.02 0.048 0.0183682
0.02 0.054 0.00555618
0.02 0.06 0.00239476
0.02 0.066 0.0140138
0.02 0.072 0.00193698
0.02 0.078 0.00112082
0.02 0.084 0.000983463
0.02 0.09 0.00535823
0.02 0.096 0.00790898
0.02 0.102 0.00413615
0.02 0.108 0.0081258
0.02 0.114 0.00456018
0.02 0.12 0.00166473
0.02 0.126 0.00315991
0.02 0.132 0.00953177
0.02 0.138 0.00140263
0.02 0.144 0.008399
0.02 0.15 0.00601718
0.02 0.156 0.0102958
0.02 0.162 0.0162839
0.02 0.168 0.0120743
0.02 0.174 0.0073818
0.02 0.18 2.3316e-06
0.02 0.186 0.00691073
0.02 0.192 0.0130487
0.02 0.198 0.0144192
0.02 0.204 0.0106143
0.02 0.21 0.0137578
0.02 0.216 0.0117645
0.02 0.222 0.0160282
0.02 0.228 0.0227233
0.02 0.234 0.0149988
0.02 0.24 0.00557419
0.02 0.246 0.00307885
0.02 0.252 0.00108509
0.02 0.258 0.00400993
0.02 0.264 0.00630238
0.02 0.27 0.000469831
0.02 0.276 0.00263408
0.02 0.282 0.0134193
0.02 0.288 0.0108473
0.02 0.294 0.0130011
0.02 0.3 0.0123202
0.02 0.306 0.0063993
0.02 0.312 0.00167163
0.02 0.318 0.00374097
0.02 0.324 0.00403743
0.02 0.33 0.0129954
0.02 0.336 0.00563343
