# dynamical spin structure factor of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.80 S=1
# k, omega, S(k,omega)

0 0 0.00514828
0 0.006 0.00477547
0 0.012 0.00263214
0 0.018 0.00302503
0 0.024 0.00648349
0 0.03 0.00600103
0 0.036 0.000833384
0 0.042 0.0112731
0 0.048 0.0248933
0 0.054 0.0230623
0 0.06 0.00520041
0 0.066 0.0222731
0 0.072 0.0323416
0 0.078 0.00313798
0 0.084 0.0198933
0 0.09 0.0245615
0 0.096 0.00782626
0 0.102 0.0146928
0 0.108 0.0250529
0 0.114 0.0235866
0 0.12 0.0148339
0 0.126 0.00830992
0 0.132 0.0219986
0 0.138 0.0175143
0 0.144 0.0378691
0 0.15 0.0475958
0 0.156 0.0281496
0 0.162 0.00933245
0 0.168 0.0017728
0 0.174 0.00598607
0 0.18 0.00859566
0 0.186 0.00171114
0 0.192 0.0143753
0 0.198 0.00639143
0 0.204 0.00269546
0 0.21 0.00569632
0 0.216 0.00435501
0 0.222 0.012241
0 0.228 0.0123275
0 0.234 0.00366658
0 0.24 0.00751679
0 0.246 0.00441505
0 0.252 0.00183128
0 0.258 0.00256755
0 0.264 0.00263168
0 0.27 0.00604153
0 0.276 0.0104215
0 0.282 0.0124429
0 0.288 0.010806
0 0.294 0.0104046
0 0.3 0.00931637
0 0.306 0.00972958
0 0.312 0.0118046
0 0.318 0.00822647
0 0.324 0.00730254
0 0.33 0.00366949
0 0.336 0.00220641
0 0.342 0.000131236
0 0.348 0.00482631
0 0.354 0.00439621
0 0.36 0.00441482
0 0.366 0.00454377
0 0.372 0.00409637
0 0.378 0.00783651
0 0.384 0.00823442
0 0.39 0.0079219
0 0.396 0.00721581
0 0.402 0.00500907
0 0.408 0.00153846
0 0.414 0.00225027
0 0.42 0.00208271
0 0.426 0.00106231
0 0.432 0.00290505
0 0.438 0.000873773
0 0.444 0.00156706
0 0.45 0.00204579
0 0.456 0.000811535
0 0.462 0.00182157
0 0.468 0.00235738
0 0.474 0.00267758
0 0.48 0.00372678
0 0.486 0.00404801
0 0.492 0.00330726
0 0.498 0.00443695
0 0.504 0.002261
0 0.51 0.00313554
0 0.516 0.00167471
0 0.522 0.00157162
0 0.528 0.00231385
0 0.534 0.00193424
0 0.54 0.00165068
0 0.546 0.000922274
0 0.552 0.000981059
0 0.558 0.000628974
0 0.564 0.000918002
0 0.57 0.00121814
0 0.576 0.00188926
0 0.582 0.0020864
0 0.588 0.00111111
0 0.594 0.00120964
0 0.6 0.00030846
0.005 0 0.0173649
0.005 0.006 0.0159252
0.005 0.012 0.0105718
0.005 0.018 0.000129281
0.005 0.024 0.00742216
0.005 0.03 0.00770176
0.005 0.036 0.00346521
0.005 0.042 0.0199449
0.005 0.048 0.0422632
0.005 0.054 0.0395348
0.005 0.06 0.0104307
0.005 0.066 0.0336062
0.005 0.072 0.0489534
0.005 0.078 0.000396827
0.005 0.084 0.0257414
0.005 0.09 0.0337964
0.005 0.096 0.00915254
0.005 0.102 0.0225332
0.005 0.108 0.0409847
0.005 0.114 0.0426027
0.005 0.12 0.0316014
0.005 0.126 0.0198515
0.005 0.132 0.0383752
0.005 0.138 0.0267527
0.005 0.144 0.0564022
0.005 0.15 0.0766563
0.005 0.156 0.0470087
0.005 0.162 0.0141046
0.005 0.168 0.00328786
0.005 0.174 0.0103165
0.005 0.18 0.0148264
0.005 0.186 0.00273938
0.005 0.192 0.0203591
0.005 0.198 0.00929804
0.005 0.204 0.00446056
0.005 0.21 0.00801631
0.005 0.216 0.00586595
0.005 0.222 0.0179163
0.005 0.228 0.0173545
0.005 0.234 0.00534996
0.005 0.24 0.0108628
0.005 0.246 0.00585658
0.005 0.252 0.00291622
0.005 0.258 0.00605921
0.005 0.264 0.00357298
0.005 0.27 0.00847958
0.005 0.276 0.0147983
0.005 0.282 0.0170716
0.005 0.288 0.0150851
0.005 0.294 0.014865
0.005 0.3 0.0135448
0.005 0.306 0.0141218
0.005 0.312 0.0170358
0.005 0.318 0.0115138
0.005 0.324 0.00876789
0.005 0.33 0.00336226
0.005 0.336 0.00173053
0.005 0.342 0.0010159
0.005 0.348 0.00872408
0.005 0.354 0.00767671
0.005 0.36 0.00764502
0.005 0.366 0.00801612
0.005 0.372 0.00727169
0.005 0.378 0.0128974
0.005 0.384 0.0131562
0.005 0.39 0.0118853
0.005 0.396 0.0107592
0.005 0.402 0.00801561
0.005 0.408 0.00234702
0.005 0.414 0.00304868
0.005 0.42 0.00259118
0.005 0.426 0.00117855
0.005 0.432 0.00397319
0.005 0.438 0.000675506
0.005 0.444 0.00137233
0.005 0.45 0.00241696
0.005 0.456 0.00127673
0.005 0.462 0.00271058
0.005 0.468 0.00374302
0.005 0.474 0.00401447
0.005 0.48 0.0054349
0.005 0.486 0.00596352
0.005 0.492 0.00480564
0.005 0.498 0.00622244
0.005 0.504 0.00307215
0.005 0.51 0.00467835
0.005 0.516 0.00257754
0.005 0.522 0.00208663
0.005 0.528 0.00311893
0.005 0.534 0.00225362
0.005 0.54 0.00192552
0.005 0.546 0.000849611
0.005 0.552 0.00108784
0.005 0.558 0.000568017
0.005 0.564 0.00161677
0.005 0.57 0.00192011
0.005 0.576 0.00286561
0.005 0.582 0.002977
0.005 0.588 0.0014646
0.005 0.594 0.00167325
0.005 0.6 0.000538062
0.01 0 0.0417423
0.01 0.006 0.0380583
0.01 0.012 0.0275086
0.01 0.018 0.0121572
0.01 0.024 0.000444416
0.01 0.03 0.00255907
0.01 0.036 0.0090053
0.01 0.042 0.0249161
0.01 0.048 0.0485388
0.01 0.054 0.0462392
0.01 0.06 0.0158112
0.01 0.066 0.0293443
0.01 0.072 0.0429982
0.01 0.078 0.0131113
0.01 0.084 0.0120874
0.01 0.09 0.0218829
0.01 0.096 0.00136606
0.01 0.102 0.0201272
0.01 0.108 0.0426349
0.01 0.114 0.0534902
0.01 0.12 0.0483224
0.01 0.126 0.0316123
0.01 0.132 0.0423269
0.01 0.138 0.0259962
0.01 0.144 0.0538462
0.01 0.15 0.0817033
0.01 0.156 0.0526279
0.01 0.162 0.0148213
0.01 0.168 0.00609111
0.01 0.174 0.0135764
0.01 0.18 0.016583
0.01 0.186 0.00266436
0.01 0.192 0.0171579
0.01 0.198 0.00829945
0.01 0.204 0.00403316
0.01 0.21 0.00597066
0.01 0.216 0.00391175
0.01 0.222 0.0151423
0.01 0.228 0.0129892
0.01 0.234 0.00382079
0.01 0.24 0.00877132
0.01 0.246 0.00367056
0.01 0.252 0.00241092
0.01 0.258 0.00971337
0.01 0.264 0.00257063
0.01 0.27 0.00658288
0.01 0.276 0.0116674
0.01 0.282 0.0122416
0.01 0.288 0.0113975
0.01 0.294 0.0117147
0.01 0.3 0.0111004
0.01 0.306 0.0113966
0.01 0.312 0.0134536
0.01 0.318 0.00831732
0.01 0.324 0.00332277
0.01 0.33 0.00139909
0.01 0.336 0.00188355
0.01 0.342 0.00350263
0.01 0.348 0.010523
0.01 0.354 0.0089703
0.01 0.36 0.00868121
0.01 0.366 0.00960117
0.01 0.372 0.00866044
0.01 0.378 0.0135772
0.01 0.384 0.0130504
0.01 0.39 0.0102347
0.01 0.396 0.00902987
0.01 0.402 0.00759374
0.01 0.408 0.00178986
0.01 0.414 0.0017849
0.01 0.42 0.0011032
0.01 0.426 1.17643e-05
0.01 0.432 0.00249285
0.01 0.438 0.000982093
0.01 0.444 0.000963922
0.01 0.45 0.000698593
0.01 0.456 0.00116149
0.01 0.462 0.00226298
0.01 0.468 0.00374823
0.01 0.474 0.00347906
0.01 0.48 0.00449541
0.01 0.486 0.0048967
0.01 0.492 0.00387369
0.01 0.498 0.00446968
0.01 0.504 0.00182298
0.01 0.51 0.00382764
0.01 0.516 0.00201777
0.01 0.522 0.00100698
0.01 0.528 0.00176581
0.01 0.534 0.000500426
0.01 0.54 0.000509952
0.01 0.546 0.000326868
0.01 0.552 0.000211246
0.01 0.558 4.10204e-05
0.01 0.564 0.00165415
0.01 0.57 0.00171192
0.01 0.576 0.00250788
0.01 0.582 0.0023217
0.01 0.588 0.000806913
0.01 0.594 0.00109305
0.01 0.6 0.000523734
0.015 0 0.0797031
0.015 0.006 0.072535
0.015 0.012 0.0541091
0.015 0.018 0.0324315
0.015 0.024 0.0149623
0.015 0.03 0.00754381
0.015 0.036 0.0175099
0.015 0.042 0.0296636
0.015 0.048 0.051445
0.015 0.054 0.0501358
0.015 0.06 0.0226617
0.015 0.066 0.0180382
0.015 0.072 0.0266116
0.015 0.078 0.0321052
0.015 0.084 0.0118671
0.015 0.09 0.000178927
