# dynamical spin structure factor of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.80 S=3/2
# k, omega, S(k,omega)

0 0 0.00761211
0 0.006 0.00702443
0 0.012 0.00674056
0 0.018 0.00328108
0 0.024 0.00154691
0 0.03 0.0102647
0 0.036 0.00831788
0 0.042 0.0321884
0 0.048 0.0101424
0 0.054 0.0189286
0 0.06 0.0230594
0 0.066 0.0282128
0 0.072 0.0321673
0 0.078 0.0274128
0 0.084 0.0641138
0 0.09 0.0983545
0 0.096 0.125721
0 0.102 0.0995699
0 0.108 0.0443113
0 0.114 0.0416285
0 0.12 0.0360823
0 0.126 0.0271175
0 0.132 0.0301884
0 0.138 0.0357936
0 0.144 0.0270794
0 0.15 0.028972
0 0.156 0.0347505
0 0.162 0.00684512
0 0.168 0.0220237
0 0.174 0.033696
0 0.18 0.0337546
0 0.186 0.0359193
0 0.192 0.0284638
0 0.198 0.0131155
0 0.204 0.0115831
0 0.21 0.020622
0 0.216 0.0235363
0 0.222 0.0166669
0 0.228 0.00784269
0 0.234 0.00161345
0 0.24 0.00441797
0 0.246 0.0056307
0 0.252 0.00851292
0 0.258 0.0116037
0 0.264 0.00628339
0 0.27 0.00324837
0 0.276 0.00873324
0 0.282 0.00820077
0 0.288 0.00776168
0 0.294 0.0122949
0 0.3 0.0134863
0 0.306 0.0125188
0 0.312 0.00593336
0 0.318 0.00630108
0 0.324 0.00504216
0 0.33 0.00175689
0 0.336 0.00389912
0 0.342 0.00581751
0 0.348 0.00818832
0 0.354 0.00923363
0 0.36 0.00893968
0 0.366 0.0094195
0 0.372 0.00910023
0 0.378 0.00659889
0 0.384 0.00453451
0 0.39 0.00456936
0 0.396 0.00432213
0 0.402 0.00196809
0 0.408 0.00196809
0 0.414 0.00196809
0 0.42 0.00196809
0 0.426 0.00196809
0 0.432 0.00196809
0 0.438 0.00196809
0 0.444 0.00196809
0 0.45 0.00196809
0 0.456 0.00196809
0 0.462 0.00196809
0 0.468 0.00196809
0 0.474 0.00196809
0 0.48 0.00196809
0 0.486 0.00196809
0 0.492 0.00196809
0 0.498 0.00196809
0 0.504 0.00196809
0 0.51 0.00196809
0 0.516 0.00196809
0 0.522 0.00196809
0 0.528 0.00196809
0 0.534 0.00196809
0 0.54 0.00196809
0 0.546 0.00196809
0 0.552 0.00196809
0 0.558 0.00196809
0 0.564 0.00196809
0 0.57 0.00196809
0 0.576 0.00196809
0 0.582 0.00196809
0 0.588 0.00196809
0 0.594 0.00196809
0 0.6 0.00196809
0 0.606 0.00196809
0 0.612 0.00196809
0 0.618 0.00196809
0 0.624 0.00196809
0 0.63 0.00196809
0 0.636 0.00196809
0 0.642 0.00196809
0 0.648 0.00196809
0 0.654 0.00196809
0 0.66 0.00196809
0 0.666 0.00196809
0 0.672 0.00196809
0 0.678 0.00196809
0 0.684 0.00196809
0 0.69 0.00196809
0 0.696 0.00196809
0 0.702 0.00196809
0 0.708 0.00196809
0 0.714 0.00196809
0 0.72 0.00196809
0 0.726 0.00196809
0 0.732 0.00196809
0 0.738 0.00196809
0 0.744 0.00196809
0 0.75 0.00196809
0 0.756 0.00196809
0 0.762 0.00196809
0 0.768 0.00196809
0 0.774 0.00196809
0 0.78 0.00196809
0 0.786 0.00196809
0 0.792 0.00196809
0 0.798 0.00196809
0 0.804 0.00196809
0.005 0 0.0238707
0.005 0.006 0.0218014
0.005 0.012 0.01879
0.005 0.018 0.011016
0.005 0.024 0.00607702
0.005 0.03 0.0193686
0.005 0.036 0.0166434
0.005 0.042 0.055075
0.005 0.048 0.0191811
0.005 0.054 0.032143
0.005 0.06 0.0363215
0.005 0.066 0.0446908
0.005 0.072 0.0506701
0.005 0.078 0.0410144
0.005 0.084 0.0978094
0.005 0.09 0.15143
0.005 0.096 0.196152
0.005 0.102 0.159751
0.005 0.108 0.0756086
0.005 0.114 0.0716212
0.005 0.12 0.0610084
0.005 0.126 0.0444026
0.005 0.132 0.0452293
0.005 0.138 0.0530676
0.005 0.144 0.0342106
0.005 0.15 0.035381
0.005 0.156 0.0474461
0.005 0.162 0.0153278
0.005 0.168 0.0352397
0.005 0.174 0.0538352
0.005 0.18 0.0520094
0.005 0.186 0.0563435
0.005 0.192 0.045143
0.005 0.198 0.0231096
0.005 0.204 0.0191269
0.005 0.21 0.03225
0.005 0.216 0.0370727
0.005 0.222 0.0260278
0.005 0.228 0.0106978
0.005 0.234 0.000194987
